volume,family_name,genus_name,genus_label,genus_index_parsed,species_scientific_name,accepted_name,thailand,distribution,ecology,family_url,genus_url,species_url,scraped_at,specific_name,wfo_id,specific_name_clean,species_url_clean,wfo_full_name
2,Haloragaceae,1 Myriophyllum,Myriophyllum,1.0,Myriophyllum siamense (Craib) Tardieu,This is currently accepted.,"PENINSULAR: Nakhon Si Thammarat, Songkhla (type).","Known from 3 localities: the type-locality, and N & S Vietnam.","In small mats on damp sandy ground, edge of marshy pond, at low altitudes.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Haloragaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Myriophyllum&tdcode=00002,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00004,2025-10-19T18:17:33.566587+00:00,Myriophyllum siamense (Craib) Tardieu,,myriophyllum siamense (craib) tardieu,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00004,
2,Rhizophoraceae,1 Rhizophora,Rhizophora,1.0,Rhizophora mucronata Poir.,This is currently accepted.,"SOUTH-EASTERN: Chanthaburi; SOUTH-WESTERN: Prachuap Khiri Khan, Ratchaburi; PENINSULAR: Chumphon (Lang Suan), Trang, Surat Thani.","In the Old World tropics, occurring from the coast of eastern Africa (type from Mauritius) through Asia and Malesia to NE Australia and the Pacific Islands as far as the Tonga group.",Mangrove forests.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rhizophoraceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Rhizophora&tdcode=00008,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00010,2025-10-19T18:18:19.615290+00:00,Rhizophora mucronata Poir.,,rhizophora mucronata poir.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00010,
2,Rhizophoraceae,2 Bruguiera,Bruguiera,2.0,Bruguiera gymnorhiza (L.) Savigny,This is currently accepted.,"SOUTH-EASTERN: Chanthaburi, Trat; PENINSULAR: Satun (Khlong Che Samat), Trang, Surat Thani, Chumphon.","In the Old World tropics, from S & E Africa through Asia (type from Malabar) and Malesia to N Australia, Micronesia, and Polynesia.",Mangrove forests.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rhizophoraceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Bruguiera&tdcode=00011,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00012,2025-10-19T18:18:33.101996+00:00,Bruguiera gymnorhiza (L.) Savigny,,bruguiera gymnorhiza (l.) savigny,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00012,
2,Rhizophoraceae,3 Ceriops,Ceriops,3.0,Ceriops decandra (Griff.) Ding Hou,This is currently accepted.,"SOUTH-EASTERN: Chon Buri (Si Racha), Chathaburi; PENINSULAR: Krabi, Phuket, Satun, Surat Thani, Chumphon.","India (type), Burma, Cambodia, S Vietnam, Malesia.",Mangrove forests.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rhizophoraceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Ceriops&tdcode=00017,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00019,2025-10-19T18:19:14.152028+00:00,Ceriops decandra (Griff.) Ding Hou,,ceriops decandra (griff.) ding hou,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00019,
2,Rosaceae,5 Stranvaesia,Stranvaesia,5.0,Stranvaesia nussia (Buch.-Ham. ex D.Don) Decne.,Photinia nussia,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Stranvaesia&tdcode=00068,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00069,2025-10-19T18:23:26.198148+00:00,Photinia nussia,,photinia nussia,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00069,
2,Rosaceae,4 Photinia,Photinia,4.0,Photinia arguta Wall. ex Lindl.,Pourthiaea arguta,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Photinia&tdcode=00062,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00065,2025-10-19T18:23:39.329209+00:00,Pourthiaea arguta,,pourthiaea arguta,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00065,
2,Rosaceae,6 Eriobotrya,Eriobotrya,6.0,Eriobotrya bengalensis (Roxb.) Hook.f.,This is currently accepted.,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Eriobotrya&tdcode=00072,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00074,2025-10-19T18:23:57.363979+00:00,Eriobotrya bengalensis (Roxb.) Hook.f.,,eriobotrya bengalensis (roxb.) hook.f.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00074,
2,Rosaceae,3 Sorbus,Sorbus,3.0,Sorbus granulosa (Bertol.) Rehder,This is currently accepted.,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Sorbus&tdcode=00056,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00057,2025-10-19T18:24:23.205148+00:00,Sorbus granulosa (Bertol.) Rehder,,sorbus granulosa (bertol.) rehder,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00057,
2,Rosaceae,10 Rubus,Rubus,10.0,2 Rubus rosifolius var. coronarius (Sims) Focke,Rubus rosifolius,NORTHERN: Mea Hong Son (culitivated?).,"India, China, Vietnam (cultivated). Originally described from specimen cultivated in England.",,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Rubus&tdcode=00084,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00086,2025-10-19T18:25:01.359623+00:00,Rubus rosifolius,,rubus rosifolius,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00086,
2,Rosaceae,10 Rubus,Rubus,10.0,Rubus ellipticus Sm.,This is currently accepted.,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Rubus&tdcode=00084,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00089,2025-10-19T18:25:10.256321+00:00,Rubus ellipticus Sm.,,rubus ellipticus sm.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00089,
