volume,family_name,genus_name,genus_label,genus_index_parsed,species_scientific_name,thailand,distribution,ecology,family_url,genus_url,species_url,specific_name
2,Haloragaceae,1 Myriophyllum,Myriophyllum,1.0,Myriophyllum siamense (Craib) Tardieu,"PENINSULAR: Nakhon Si Thammarat, Songkhla (type).","Known from 3 localities: the type-locality, and N & S Vietnam.","In small mats on damp sandy ground, edge of marshy pond, at low altitudes.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Haloragaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Myriophyllum&tdcode=00002,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00004,Myriophyllum siamense (Craib) Tardieu
2,Rhizophoraceae,1 Rhizophora,Rhizophora,1.0,Rhizophora mucronata Poir.,"SOUTH-EASTERN: Chanthaburi; SOUTH-WESTERN: Prachuap Khiri Khan, Ratchaburi; PENINSULAR: Chumphon (Lang Suan), Trang, Surat Thani.","In the Old World tropics, occurring from the coast of eastern Africa (type from Mauritius) through Asia and Malesia to NE Australia and the Pacific Islands as far as the Tonga group.",Mangrove forests.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rhizophoraceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Rhizophora&tdcode=00008,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00010,Rhizophora mucronata Poir.
2,Rhizophoraceae,2 Bruguiera,Bruguiera,2.0,Bruguiera gymnorhiza (L.) Savigny,"SOUTH-EASTERN: Chanthaburi, Trat; PENINSULAR: Satun (Khlong Che Samat), Trang, Surat Thani, Chumphon.","In the Old World tropics, from S & E Africa through Asia (type from Malabar) and Malesia to N Australia, Micronesia, and Polynesia.",Mangrove forests.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rhizophoraceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Bruguiera&tdcode=00011,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00012,Bruguiera gymnorhiza (L.) Savigny
2,Rhizophoraceae,3 Ceriops,Ceriops,3.0,Ceriops decandra (Griff.) Ding Hou,"SOUTH-EASTERN: Chon Buri (Si Racha), Chathaburi; PENINSULAR: Krabi, Phuket, Satun, Surat Thani, Chumphon.","India (type), Burma, Cambodia, S Vietnam, Malesia.",Mangrove forests.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rhizophoraceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Ceriops&tdcode=00017,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00019,Ceriops decandra (Griff.) Ding Hou
2,Rosaceae,5 Stranvaesia,Stranvaesia,5.0,Stranvaesia nussia (Buch.-Ham. ex D.Don) Decne.,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Stranvaesia&tdcode=00068,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00069,Photinia nussia
2,Rosaceae,4 Photinia,Photinia,4.0,Photinia arguta Wall. ex Lindl.,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Photinia&tdcode=00062,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00065,Pourthiaea arguta
2,Rosaceae,6 Eriobotrya,Eriobotrya,6.0,Eriobotrya bengalensis (Roxb.) Hook.f.,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Eriobotrya&tdcode=00072,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00074,Eriobotrya bengalensis (Roxb.) Hook.f.
2,Rosaceae,3 Sorbus,Sorbus,3.0,Sorbus granulosa (Bertol.) Rehder,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Sorbus&tdcode=00056,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00057,Sorbus granulosa (Bertol.) Rehder
2,Rosaceae,10 Rubus,Rubus,10.0,2 Rubus rosifolius var. coronarius (Sims) Focke,NORTHERN: Mea Hong Son (culitivated?).,"India, China, Vietnam (cultivated). Originally described from specimen cultivated in England.",,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Rubus&tdcode=00084,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00086,Rubus rosifolius
2,Rosaceae,10 Rubus,Rubus,10.0,Rubus ellipticus Sm.,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Rubus&tdcode=00084,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00089,Rubus ellipticus Sm.
2,Rosaceae,10 Rubus,Rubus,10.0,Rubus pyrifolius Sm.,NORTHERN: Nan (Huai Kua).,"India, Laos, Vietnam, China, Indonesia (Java – type), the Philippines.","In mountainous country, 1,000–2,000 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Rubus&tdcode=00084,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00096,Rubus pyrifolius Sm.
2,Rosaceae,10 Rubus,Rubus,10.0,No specie name found,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Rubus&tdcode=00084,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=,
2,Rosaceae,15 Rosa,Rosa,15.0,Rosa banksiae W.T.Aiton,Cultivated.,China. Cultivated in various regions of the world. Originally described from specimen cultivated in Kew Gardens.,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Rosa&tdcode=00117,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00124,Rosa banksiae W.T.Aiton
2,Rosaceae,15 Rosa,Rosa,15.0,Rosa odorata (Andrews) Sweet,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Rosa&tdcode=00117,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00121,Rosa odorata (Andrews) Sweet
2,Rosaceae,16 Prunus,Prunus,16.0,Prunus arborea (Blume) Kalkman,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Prunus&tdcode=00126,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00135,Prunus arborea (Blume) Kalkman
2,Rosaceae,16 Prunus,Prunus,16.0,Prunus grisea (Blume ex Müll.Berol.) Kalkman,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Prunus&tdcode=00126,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00133,Prunus grisea (Blume ex Müll.Berol.) Kalkman
2,Icacinaceae,3 Gomphandra,Gomphandra,3.0,Gomphandra quadrifida (Blume) Sleumer,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Icacinaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Gomphandra&tdcode=00152,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00153,Gomphandra quadrifida (Blume) Sleumer
