wfo_id,scraped_name,scrape_status
wfo-0001261381,Myriophyllum tetrandrum Roxb.,ok
wfo-0001109307,Asplenium caudatum G.Forst.,ok
wfo-0000320685,Talauma siamensis Dandy,ok
wfo-0001002050,Prunus phaeosticta (Hance) Maxim.,ok
wfo-0000704301,Gluta glabra (Wall.) Ding Hou,ok
wfo-0000200305,Derris laotica Gagnep.,ok
wfo-0000230314,Lithocarpus vestitus (Hickel & A.Camus) A.Camus,ok
wfo-0000200635,Ormosia robusta (Wight) Voigt,ok
wfo-0000533246,Schumannianthus dichotomus Gagnep.,ok
wfo-0000505185,Stephania brevipes Craib,ok
wfo-0001084930,Trophis scandens (Lour.) Hook. & Arn.,ok
wfo-0000641278,Dendrophthoe pentandra (L.) Miq.,ok
wfo-0000334387,Willughbeia grandiflora Dyer ex Hook.f.,ok
wfo-0001123023,Dryopteris pseudosparsa Ching,ok
wfo-0000435781,Salacia verrucosa Wight,ok
wfo-0000318434,Syzygium chavaran (Bourd.) Gamble,ok
wfo-0000704678,Glyptopetalum calocarpum (Kurz) Prain,ok
wfo-0000249830,Aporosa wallichii Hook.f.,ok
wfo-0000291661,Quercus lenticellata Barnett,ok
wfo-0001114885,Bolbitis appendiculata (Willd.) K.Iwats.,ok
wfo-0000318629,Syzygium filiforme Chantar. & J.Parn.,ok
wfo-0001428962,Salacia oblongifolia Blume,ok
wfo-0000647555,Dillenia grandifolia Wall. ex Hook.f. & Thomson,ok
wfo-0001142832,Triumfetta grandidens Hance,ok
wfo-0000379073,Natsiatum herpeticum Buch.-Ham. ex Arn.,ok
wfo-0000748881,Thysanotus chinensis Benth.,ok
wfo-0000187869,Smithia sensitiva Aiton,ok
wfo-0000572544,Thismia javanica J.J.Sm.,ok
wfo-0000567944,Boerhavia erecta L.,ok
wfo-0001124421,Meringium acanthoides (Bosch) Copel.,ok
wfo-0000273372,Pimelodendron griffithianum (Müll.Arg.) Benth. ex Hook.f.,ok
wfo-0000275193,Plectocomiopsis wrayi Becc.,ok
wfo-0001125318,Crepidomanes kurzii (Bedd.) Tagawa & K.Iwats.,ok
wfo-0000230418,Livistona jenkinsiana Griff.,ok
