bkf_specific_name,bkf_wfo_id,specific_name_clean,bkf_wfo_full_name,o7_wfo_id,o7_wfo_full_name,cand_wfo_id,cand_wfo_full_name,wfo_id_final,wfo_source,conflict_bkf_vs_o7,conflict_bkf_vs_cand,conflict_o7_vs_cand,any_conflict,wfo_full_name_final
Myriophyllum siamense (Craib) Tardieu,,myriophyllum siamense (craib) tardieu,This is currently accepted.,wfo-0000373567,Myriophyllum siamense (Craib) Tardieu,,,wfo-0000373567,output7_exact,False,False,False,False,Myriophyllum siamense (Craib) Tardieu
Myriophyllum tetrandrum Roxb.,wfo-0001261381,myriophyllum tetrandrum roxb.,This is currently accepted.,wfo-0001261381,Myriophyllum tetrandrum Roxb.,,,wfo-0001261381,bkf_original,False,False,False,False,Myriophyllum tetrandrum Roxb.
Gonocarpus micranthus,wfo-0000715064,gonocarpus micranthus,Gonocarpus micranthus,wfo-0000706666,Gonocarpus micranthus Thunb.,,,wfo-0000715064,bkf_original,True,False,False,True,
Rhizophora apiculata Blume,wfo-0001131596,rhizophora apiculata blume,This is currently accepted.,wfo-0001131596,Rhizophora apiculata Blume,,,wfo-0001131596,bkf_original,False,False,False,False,Rhizophora apiculata Blume
Rhizophora mucronata Poir.,,rhizophora mucronata poir.,This is currently accepted.,wfo-0001131556,Rhizophora mucronata Poir.,,,wfo-0001131556,output7_exact,False,False,False,False,Rhizophora mucronata Poir.
Bruguiera gymnorhiza (L.) Savigny,,bruguiera gymnorhiza (l.) savigny,This is currently accepted.,,,wfo-0000572747,Bruguiera gymnorhiza (L.) Lam. ex Savigny,wfo-0000572747,candidates_unique,False,False,False,False,
Bruguiera sexangula (Lour.) Poir.,wfo-0000572763,bruguiera sexangula (lour.) poir.,This is currently accepted.,wfo-0000572763,Bruguiera sexangula (Lour.) Poir.,,,wfo-0000572763,bkf_original,False,False,False,False,Bruguiera sexangula (Lour.) Poir.
Bruguiera parviflora (Roxb.) Wight & Arn. ex Griff.,wfo-0000572758,bruguiera parviflora (roxb.) wight & arn. ex griff.,This is currently accepted.,wfo-0000572758,Bruguiera parviflora (Roxb.) Wight & Arn. ex Griff.,,,wfo-0000572758,bkf_original,False,False,False,False,Bruguiera parviflora (Roxb.) Wight & Arn. ex Griff.
Bruguiera cylindrica (L.) Blume,wfo-0000572742,bruguiera cylindrica (l.) blume,This is currently accepted.,wfo-0000572742,Bruguiera cylindrica (L.) Blume,,,wfo-0000572742,bkf_original,False,False,False,False,Bruguiera cylindrica (L.) Blume
Bruguiera hainesii C.G.Rogers,wfo-0000572750,bruguiera hainesii c.g.rogers,This is currently accepted.,wfo-0000572750,Bruguiera hainesii C.G.Rogers,,,wfo-0000572750,bkf_original,False,False,False,False,Bruguiera hainesii C.G.Rogers
Ceriops tagal (Perr.) C.B.Rob.,wfo-0000597945,ceriops tagal (perr.) c.b.rob.,This is currently accepted.,wfo-0000597945,Ceriops tagal (Perr.) C.B.Rob.,,,wfo-0000597945,bkf_original,False,False,False,False,Ceriops tagal (Perr.) C.B.Rob.
Ceriops decandra (Griff.) Ding Hou,,ceriops decandra (griff.) ding hou,This is currently accepted.,,,wfo-0000597936,Ceriops decandra (Griff.) W.Theob.,wfo-0000597936,candidates_unique,False,False,False,False,
Kandelia candel (L.) Druce,wfo-0001131563,kandelia candel (l.) druce,This is currently accepted.,wfo-0001131563,Kandelia candel (L.) Druce,,,wfo-0001131563,bkf_original,False,False,False,False,Kandelia candel (L.) Druce
Pellacalyx parkinsonii C.E.C.Fischer,wfo-0000472091,pellacalyx parkinsonii c.e.c.fischer,This is currently accepted.,,,wfo-0000472091,Pellacalyx parkinsonii C.E.C.Fisch.,wfo-0000472091,bkf_original,False,False,False,False,
Pellacalyx saccardianus Scort.,wfo-0000472093,pellacalyx saccardianus scort.,This is currently accepted.,wfo-0000472093,Pellacalyx saccardianus Scort.,,,wfo-0000472093,bkf_original,False,False,False,False,Pellacalyx saccardianus Scort.
Carallia brachiata (Lour.) Merr.,wfo-0000586012,carallia brachiata (lour.) merr.,This is currently accepted.,wfo-0000586012,Carallia brachiata (Lour.) Merr.,,,wfo-0000586012,bkf_original,False,False,False,False,Carallia brachiata (Lour.) Merr.
Gynotroches axillaris Blume,wfo-0000713318,gynotroches axillaris blume,This is currently accepted.,wfo-0000713318,Gynotroches axillaris Blume,,,wfo-0000713318,bkf_original,False,False,False,False,Gynotroches axillaris Blume
Averrhoa carambola L.,wfo-0000557405,averrhoa carambola l.,This is currently accepted.,wfo-0000557405,Averrhoa carambola L.,,,wfo-0000557405,bkf_original,False,False,False,False,Averrhoa carambola L.
Averrhoa bilimbi L.,wfo-0000557404,averrhoa bilimbi l.,This is currently accepted.,wfo-0000557404,Averrhoa bilimbi L.,,,wfo-0000557404,bkf_original,False,False,False,False,Averrhoa bilimbi L.
Oxalis corniculata L.,wfo-0000387203,oxalis corniculata l.,This is currently accepted.,wfo-0000387203,Oxalis corniculata L.,,,wfo-0000387203,bkf_original,False,False,False,False,Oxalis corniculata L.
Biophytum umbraculum,wfo-0000565517,biophytum umbraculum,Biophytum umbraculum,wfo-0000565553,Biophytum umbraculum Welw.,,,wfo-0000565517,bkf_original,True,False,False,True,
Biophytum sensitivum (L.) DC.,wfo-0000565531,biophytum sensitivum (l.) dc.,This is currently accepted.,wfo-0000565531,Biophytum sensitivum (L.) DC.,,,wfo-0000565531,bkf_original,False,False,False,False,Biophytum sensitivum (L.) DC.
Biophytum reinwardtii (Zucc.) Klotzsch,wfo-0000565522,biophytum reinwardtii (zucc.) klotzsch,This is currently accepted.,wfo-0000565522,Biophytum reinwardtii (Zucc.) Klotzsch,,,wfo-0000565522,bkf_original,False,False,False,False,Biophytum reinwardtii (Zucc.) Klotzsch
Biophytum thorelianum Guillaumin,wfo-0000565549,biophytum thorelianum guillaumin,This is currently accepted.,wfo-0000565549,Biophytum thorelianum Guillaumin,,,wfo-0000565549,bkf_original,False,False,False,False,Biophytum thorelianum Guillaumin
Biophytum adiantoides Wight ex Edgew. & Hook.f.,wfo-0000565432,biophytum adiantoides wight ex edgew. & hook.f.,This is currently accepted.,wfo-0000565432,Biophytum adiantoides Wight ex Edgew. & Hook.f.,,,wfo-0000565432,bkf_original,False,False,False,False,Biophytum adiantoides Wight ex Edgew. & Hook.f.
Euthemis leucocarpa Jack,wfo-0000683576,euthemis leucocarpa jack,This is currently accepted.,wfo-0000683576,Euthemis leucocarpa Jack,,,wfo-0000683576,bkf_original,False,False,False,False,Euthemis leucocarpa Jack
Ochna integerrima (Lour.) Merr.,wfo-0001087253,ochna integerrima (lour.) merr.,This is currently accepted.,wfo-0001087253,Ochna integerrima (Lour.) Merr.,,,wfo-0001087253,bkf_original,False,False,False,False,Ochna integerrima (Lour.) Merr.
Brackenridgea elegantissima,wfo-0000570704,brackenridgea elegantissima,Brackenridgea elegantissima,wfo-0000570698,Brackenridgea elegantissima (Wall.) Kanis,,,wfo-0000570704,bkf_original,True,False,False,True,
Brackenridgea palustris Bartell.,wfo-0000570710,brackenridgea palustris bartell.,This is currently accepted.,wfo-0000570710,Brackenridgea palustris Bartell.,,,wfo-0000570710,bkf_original,False,False,False,False,Brackenridgea palustris Bartell.
Campylospermum serratum,wfo-0000705577,campylospermum serratum,Campylospermum serratum,wfo-0000583291,Campylospermum serratum (Gaertn.) Bittrich & M.C.E.Amaral,,,wfo-0000705577,bkf_original,True,False,False,True,
Spiraea cantoniensis Lour.,wfo-0001016819,spiraea cantoniensis lour.,This is currently accepted.,wfo-0001016819,Spiraea cantoniensis Lour.,,,wfo-0001016819,bkf_original,False,False,False,False,Spiraea cantoniensis Lour.
Cotoneaster franchetii Bois,wfo-0001015046,cotoneaster franchetii bois,This is currently accepted.,wfo-0001015046,Cotoneaster franchetii Bois,,,wfo-0001015046,bkf_original,False,False,False,False,Cotoneaster franchetii Bois
Photinia nussia,,photinia nussia,Photinia nussia,wfo-0000995607,Photinia nussia (Buch.-Ham. ex D.Don) Kalkman,,,wfo-0000995607,output7_exact,False,False,False,False,Photinia nussia (Buch.-Ham. ex D.Don) Kalkman
Photinia integrifolia Lindl.,wfo-0000990555,photinia integrifolia lindl.,This is currently accepted.,wfo-0000990555,Photinia integrifolia Lindl.,,,wfo-0000990555,bkf_original,False,False,False,False,Photinia integrifolia Lindl.
Photinia stenophylla Hand.-Mazz.,wfo-0001016168,photinia stenophylla hand.-mazz.,This is currently accepted.,wfo-0001016168,Photinia stenophylla Hand.-Mazz.,,,wfo-0001016168,bkf_original,False,False,False,False,Photinia stenophylla Hand.-Mazz.
Pourthiaea arguta,,pourthiaea arguta,Pourthiaea arguta,wfo-0001016665,Pourthiaea arguta (Wall. ex Lindl.) Decne.,,,wfo-0001016665,output7_exact,False,False,False,False,Pourthiaea arguta (Wall. ex Lindl.) Decne.
Eriobotrya japonica (Thunb.) Lindl.,wfo-0000986002,eriobotrya japonica (thunb.) lindl.,This is currently accepted.,wfo-0000986002,Eriobotrya japonica (Thunb.) Lindl.,,,wfo-0000986002,bkf_original,False,False,False,False,Eriobotrya japonica (Thunb.) Lindl.
Eriobotrya bengalensis (Roxb.) Hook.f.,,eriobotrya bengalensis (roxb.) hook.f.,This is currently accepted.,,,,,,unfilled,False,False,False,False,
Eriobotrya bengalensis,wfo-0001017659,eriobotrya bengalensis,Eriobotrya bengalensis,,,,,wfo-0001017659,bkf_original,False,False,False,False,
Rhaphiolepis indica (L.) Lindl. ex Ker,wfo-0001016273,rhaphiolepis indica (l.) lindl. ex ker,This is currently accepted.,,,wfo-0001016273,Rhaphiolepis indica (L.) Lindl.,wfo-0001016273,bkf_original,False,False,False,False,
Sorbus granulosa (Bertol.) Rehder,,sorbus granulosa (bertol.) rehder,This is currently accepted.,wfo-0001016817,Sorbus granulosa (Bertol.) Rehder,,,wfo-0001016817,output7_exact,False,False,False,False,Sorbus granulosa (Bertol.) Rehder
Micromeles cuspidata,wfo-0000996758,micromeles cuspidata,Micromeles cuspidata,,,,,wfo-0000996758,bkf_original,False,False,False,False,
Docynia indica (Wall.) Decne.,wfo-0001003548,docynia indica (wall.) decne.,This is currently accepted.,wfo-0001003548,Docynia indica (Colebr. ex Wall.) Decne.,,,wfo-0001003548,bkf_original,False,False,False,False,Docynia indica (Colebr. ex Wall.) Decne.
Pyrus pyrifolia,wfo-0001017269,pyrus pyrifolia,Pyrus pyrifolia,wfo-0001014308,Pyrus pyrifolia (Burm.f.) Nakai,,,wfo-0001017269,bkf_original,True,False,False,True,
Rubus leucanthus Hance,wfo-0001002192,rubus leucanthus hance,This is currently accepted.,wfo-0001002192,Rubus leucanthus Hance,,,wfo-0001002192,bkf_original,False,False,False,False,Rubus leucanthus Hance
Rubus alpestris Blume,wfo-0000990767,rubus alpestris blume,This is currently accepted.,wfo-0001007416,Rubus alpestris Blume,,,wfo-0000990767,bkf_original,True,False,False,True,
Rubus rosifolius,,rubus rosifolius,Rubus rosifolius,,,,,,unfilled,False,False,False,False,
Rubus sumatranus,wfo-0001017833,rubus sumatranus,Rubus sumatranus,wfo-0001017830,Rubus sumatranus Miq.,,,wfo-0001017833,bkf_original,True,False,False,True,
Rubus niveus Thunb.,wfo-0000995169,rubus niveus thunb.,This is currently accepted.,wfo-0000995169,Rubus niveus Thunb.,,,wfo-0000995169,bkf_original,False,False,False,False,Rubus niveus Thunb.
Rubus ellipticus Sm.,,rubus ellipticus sm.,This is currently accepted.,wfo-0001002128,Rubus ellipticus Sm.,,,wfo-0001002128,output7_exact,False,False,False,False,Rubus ellipticus Sm.
Rubus cochinchinensis Tratt.,wfo-0001017951,rubus cochinchinensis tratt.,This is currently accepted.,wfo-0001017951,Rubus cochinchinensis Tratt.,,,wfo-0001017951,bkf_original,False,False,False,False,Rubus cochinchinensis Tratt.
Rubus elongatus Sm.,wfo-0000988480,rubus elongatus sm.,This is currently accepted.,wfo-0000988480,Rubus elongatus Sm.,,,wfo-0000988480,bkf_original,False,False,False,False,Rubus elongatus Sm.
Rubus hastifolius H.Lév. & Vaniot,wfo-0000994330,rubus hastifolius h.lév. & vaniot,This is currently accepted.,wfo-0000994330,Rubus hastifolius H.Lév. & Vaniot,,,wfo-0000994330,bkf_original,False,False,False,False,Rubus hastifolius H.Lév. & Vaniot
Rubus xanthoneurus,wfo-0000993850,rubus xanthoneurus,Rubus xanthoneurus,wfo-0001015864,Rubus xanthoneurus Focke,,,wfo-0000993850,bkf_original,True,False,False,True,
Rubus pyrifolius Sm.,,rubus pyrifolius sm.,This is currently accepted.,,,,,,unfilled,False,False,False,False,
Rubus tiliaceus Sm.,wfo-0001000919,rubus tiliaceus sm.,This is currently accepted.,wfo-0001000919,Rubus tiliaceus Sm.,,,wfo-0001000919,bkf_original,False,False,False,False,Rubus tiliaceus Sm.
Rubus alceifolius Poir.,wfo-0001018060,rubus alceifolius poir.,This is currently accepted.,wfo-0001018060,Rubus alceifolius Poir.,,,wfo-0001018060,bkf_original,False,False,False,False,Rubus alceifolius Poir.
Rubus malvaceus Focke,wfo-0000999517,rubus malvaceus focke,This is currently accepted.,wfo-0000999517,Rubus malvaceus Focke,,,wfo-0000999517,bkf_original,False,False,False,False,Rubus malvaceus Focke
