volume,family_name,genus_name,genus_label,genus_index_parsed,species_scientific_name,accepted_name,thailand,distribution,ecology,family_url,genus_url,species_url,scraped_at,specific_name,wfo_id,wfo_full_name,wfo_source
2,Rosaceae,6 Eriobotrya,Eriobotrya,6.0,Eriobotrya bengalensis (Roxb.) Hook.f.,This is currently accepted.,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Eriobotrya&tdcode=00072,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00074,2025-10-19T18:23:57.363979+00:00,Eriobotrya bengalensis (Roxb.) Hook.f.,,,unfilled
2,Rosaceae,10 Rubus,Rubus,10.0,2 Rubus rosifolius var. coronarius (Sims) Focke,Rubus rosifolius,NORTHERN: Mea Hong Son (culitivated?).,"India, China, Vietnam (cultivated). Originally described from specimen cultivated in England.",,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Rubus&tdcode=00084,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00086,2025-10-19T18:25:01.359623+00:00,Rubus rosifolius,,,unfilled
2,Rosaceae,10 Rubus,Rubus,10.0,Rubus pyrifolius Sm.,This is currently accepted.,NORTHERN: Nan (Huai Kua).,"India, Laos, Vietnam, China, Indonesia (Java – type), the Philippines.","In mountainous country, 1,000–2,000 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Rubus&tdcode=00084,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00096,2025-10-19T18:25:24.312604+00:00,Rubus pyrifolius Sm.,,,unfilled
2,Rosaceae,10 Rubus,Rubus,10.0,,,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Rubus&tdcode=00084,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=,2025-10-19T18:25:59.824192+00:00,,,,unfilled
2,Rosaceae,15 Rosa,Rosa,15.0,Rosa banksiae W.T.Aiton,This is currently accepted.,Cultivated.,China. Cultivated in various regions of the world. Originally described from specimen cultivated in Kew Gardens.,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Rosa&tdcode=00117,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00124,2025-10-19T18:27:39.702569+00:00,Rosa banksiae W.T.Aiton,,,unfilled
2,Magnoliaceae,6 Michelia,Michelia,6.0,Michelia sp.,This is currently accepted.,NORTHERN: Phitsanulok (Phu Miang); NORTH-EASTERN: Loei (Phu Kradueng).,Probably endemic to Thailand.,"Scattered in lower montane forests or along its edges, at medium altitudes (1,200–1,300 m).",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Magnoliaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Michelia&tdcode=00441,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00447,2025-10-19T18:55:13.631994+00:00,Michelia sp.,,,unfilled
2,Elaeocarpaceae,2 Elaeocarpus,Elaeocarpus,2.0,Elaeocarpus prunifolius Wall. ex C.Muell.,This is currently accepted.,"NORTHERN: Chiang Mal, Lampang; NORTH-EASTERN: Loei.","India (type), Burma, China.","In lower montane forests, 1,100–1,300 m alt. Flowering: June–July.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Elaeocarpaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Elaeocarpus&tdcode=00565,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00579,2025-10-19T19:07:15.698530+00:00,Elaeocarpus prunifolius Wall. ex C.Muell.,,,unfilled
3,Hymenophyllaceae,14 Macroglena,Macroglena,14.0,Macroglena gemmata (J.Sm. ex Baker) Copel.,Trichomanes gemmatum,PENINSULAR: Nakhon Si Thammarat (Khao Luang).,"Malaya (type), Borneo.",On moist clayey slope in dense forests at high altitudes.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Hymenophyllaceae&volumeno=3,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Macroglena&tdcode=F0158,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0160,2025-10-19T19:25:08.324774+00:00,Trichomanes gemmatum,,,unfilled
3,Lindsaeaceae,1 Lindsaea,Lindsaea,1.0,Lindsaea repens (Bory) Thwaites & Hook.,This is currently accepted.,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Lindsaeaceae&volumeno=3,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Lindsaea&tdcode=F0200,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0218,2025-10-19T19:30:19.621666+00:00,Lindsaea repens (Bory) Thwaites & Hook.,,,unfilled
3,Davalliaceae,4 Humata,Humata,4.0,Humata angustata (Hook. & Grev.) J.Sm.,Davallia angustata,"PENINSULAR: Songkhla (Khao Khieo), Yala (Betong).",W Malesia (type from Singapore).,On mossy tree-trunks in dense forests.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Davalliaceae&volumeno=3,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Humata&tdcode=F0247,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0251,2025-10-19T19:32:37.650677+00:00,Davallia angustata,,,unfilled
3,Pteridaceae,1 Pteris,Pteris,1.0,Pteris sp.,This is currently accepted.,NORTHERN: Chiang Mai (Doi Inthanon).,,"Terrestrial on floor of dense evergreen forests at about 2,000 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Pteridaceae&volumeno=3,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Pteris&tdcode=F0337,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0347,2025-10-19T19:40:30.561251+00:00,Pteris sp.,,,unfilled
