specific_name,species_url
Myriophyllum siamense (Craib) Tardieu,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00004
Myriophyllum tetrandrum Roxb.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00003
Myriophyllum siamense (Craib) Tardieu,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00004
Myriophyllum tetrandrum Roxb.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00003
Gonocarpus micranthus,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00006
Gonocarpus micranthus,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00006
Rhizophora apiculata Blume,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00009
Rhizophora mucronata Poir.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00010
Rhizophora apiculata Blume,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00009
Rhizophora mucronata Poir.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00010
Bruguiera gymnorhiza (L.) Savigny,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00012
Bruguiera sexangula (Lour.) Poir.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00013
Bruguiera parviflora (Roxb.) Wight & Arn. ex Griff.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00014
Bruguiera cylindrica (L.) Blume,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00015
Bruguiera hainesii C.G.Rogers,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00016
Bruguiera cylindrica (L.) Blume,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00015
Bruguiera gymnorhiza (L.) Savigny,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00012
Bruguiera hainesii C.G.Rogers,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00016
Bruguiera parviflora (Roxb.) Wight & Arn. ex Griff.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00014
