volume,family_name,genus_name,genus_label,genus_index_parsed,species_scientific_name,accepted_name,thailand,distribution,ecology,family_url,genus_url,species_url,scraped_at,specific_name,wfo_id,wfo_full_name,wfo_source
2,Rhizophoraceae,2 Bruguiera,Bruguiera,2.0,Bruguiera gymnorhiza (L.) Savigny,This is currently accepted.,"SOUTH-EASTERN: Chanthaburi, Trat; PENINSULAR: Satun (Khlong Che Samat), Trang, Surat Thani, Chumphon.","In the Old World tropics, from S & E Africa through Asia (type from Malabar) and Malesia to N Australia, Micronesia, and Polynesia.",Mangrove forests.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rhizophoraceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Bruguiera&tdcode=00011,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00012,2025-10-19T18:18:33.101996+00:00,Bruguiera gymnorhiza (L.) Savigny,wfo-0000572747,Bruguiera gymnorhiza (L.) Lam. ex Savigny,candidates_unique
2,Rhizophoraceae,3 Ceriops,Ceriops,3.0,Ceriops decandra (Griff.) Ding Hou,This is currently accepted.,"SOUTH-EASTERN: Chon Buri (Si Racha), Chathaburi; PENINSULAR: Krabi, Phuket, Satun, Surat Thani, Chumphon.","India (type), Burma, Cambodia, S Vietnam, Malesia.",Mangrove forests.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rhizophoraceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Ceriops&tdcode=00017,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00019,2025-10-19T18:19:14.152028+00:00,Ceriops decandra (Griff.) Ding Hou,wfo-0000597936,Ceriops decandra (Griff.) W.Theob.,candidates_unique
2,Connaraceae,4 Rourea (in part),Rourea (in part),4.0,Rourea sp.,This is currently accepted.,SOUTH-EASTERN: Chanthaburi.,,Evergreen forests. Fruiting April–June.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Connaraceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Rourea&tdcode=00230,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00234,2025-10-19T18:36:30.322756+00:00,Rourea sp.,wfo-4000033545,Rourea Aubl.,candidates_unique
2,Connaraceae,6 Connarus,Connarus,6.0,Connarus monocarpus L.,This is currently accepted.,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Connaraceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Connarus&tdcode=00239,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00244,2025-10-19T18:37:53.618260+00:00,Connarus monocarpus L.,wfo-0000618164,Connarus monocarpus Wight & Arn.,candidates_unique
2,Apostasiaceae,1 Neuwiedia,Neuwiedia,1.0,Neuwiedia zollingeri Reichb.f.,This is currently accepted.,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Apostasiaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Neuwiedia&tdcode=00248,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00250,2025-10-19T18:38:43.553646+00:00,Neuwiedia zollingeri Reichb.f.,wfo-0000251829,Neuwiedia zollingeri Rchb.f.,candidates_unique
2,Smilacaceae,1 Smilax,Smilax,1.0,Smilax extensa A.DC.,This is currently accepted.,"SOUTH-EASTERN: Rayong, Trat.",Malay Peninsula (type from Penang).,"Tropical evergreen forests, 50–1,000 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Smilacaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Smilax&tdcode=00381,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00394,2025-10-19T18:51:31.587955+00:00,Smilax extensa A.DC.,wfo-0000742581,Smilax extensa Wall. ex Hook.f.,candidates_unique
2,Casuarinaceae,Casuarina,Casuarina,,Casuarina equisetifolia L. ex J.R.Forst. & G.Forst.,This is currently accepted.,"SOUTH-WESTERN: Prachuap Khiri Khan, Phetchaburi; PENINSULAR: Phangnga, Phuket, Songkhla, Narathiwat.","India, Burma, Vietnam, throughout Malesia, Java, Australia and Polynesia.","Along seashores on sandy beaches, from the sea level up to 30 m alt. in Thailand, cultivated up to 1,100–1,300 m alt. Flowering and fruiting: January–March.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Casuarinaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Casuarina&tdcode=00555,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00556,2025-10-19T19:05:29.962440+00:00,Casuarina equisetifolia L. ex J.R.Forst. & G.Forst.,wfo-0000590663,Casuarina equisetifolia L.,candidates_unique
3,Vittariaceae,3 Vaginularia,Vaginularia,3.0,Vaginularia paradoxa (Fée) Mett.,This is currently accepted.,PENINSULAR: Nakhon Si Thammarat (Khao Luang).,"Ceylon, throughout Malesia to Melanesia.",On trunks of old trees in dense evergreen forests at medium altitudes.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Vittariaceae&volumeno=3,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Vaginularia&tdcode=F0333,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0334,2025-10-19T19:39:26.664731+00:00,Vaginularia paradoxa (Fée) Mett.,wfo-0001126896,Vaginularia paradoxa (Fée) Miq.,candidates_unique
3,Athyriaceae,7 Diplazium,Diplazium,7.0,Diplazium subserratum Blume,This is currently accepted.,PENINSULAR: Satun (Khao Khieo range).,"Sumatra, Malaya, Borneo, Java (type).",On moist mountain slopes by streams in evergreen jungle at about 700 m alt.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Athyriaceae&volumeno=3,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Diplazium&tdcode=F0621,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0624,2025-10-19T20:00:46.757217+00:00,Diplazium subserratum Blume,wfo-0000154715,Diplazium subserratum T.Moore,candidates_unique
3,Polypodiaceae,1 Platycerium,Platycerium,1.0,Platycerium coronarium (J.Koenig ex O.F.Müll.) Desv.,This is currently accepted.,"NORTH-EASTERN: Nong Khai (Khong Kao); SOUTH-EASTERN: Chon Buri (Si Racha), Trat (Ko Chang); PENINSULAR: Phuket (Khao Phara), Krabi, Trang (Khao Chong), Satun (Tarutao), Yala (Bannang Sata).","Burma (Tenasserim), Vietnam, Cambodia, N & W Malesia.","Epiphytic on trunk of larger trees in open places at low altitudes, rather common.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Polypodiaceae&volumeno=3,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Platycerium&tdcode=F0658,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0661,2025-10-19T20:04:05.306297+00:00,Platycerium coronarium (J.Koenig ex O.F.Müll.) Desv.,wfo-0001224687,Platycerium coronarium (Konig) Desv.,candidates_unique
