volume,family_name,genus_name_raw,genus_label,genus_index_parsed,genus_url,family_url,scraped_at
2,Haloragaceae,1 Myriophyllum,Myriophyllum,1.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Myriophyllum&tdcode=00002,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Haloragaceae&volumeno=2,2025-10-20T16:49:44.904029+00:00
2,Haloragaceae,2 Haloragis,Haloragis,2.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Haloragis&tdcode=00005,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Haloragaceae&volumeno=2,2025-10-20T16:49:44.904055+00:00
2,Rhizophoraceae,1 Rhizophora,Rhizophora,1.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Rhizophora&tdcode=00008,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rhizophoraceae&volumeno=2,2025-10-20T16:50:07.220431+00:00
2,Rhizophoraceae,2 Bruguiera,Bruguiera,2.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Bruguiera&tdcode=00011,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rhizophoraceae&volumeno=2,2025-10-20T16:50:07.220459+00:00
2,Rhizophoraceae,3 Ceriops,Ceriops,3.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Ceriops&tdcode=00017,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rhizophoraceae&volumeno=2,2025-10-20T16:50:07.220463+00:00
2,Rhizophoraceae,4 Kandelia,Kandelia,4.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Kandelia&tdcode=00020,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rhizophoraceae&volumeno=2,2025-10-20T16:50:07.220466+00:00
2,Rhizophoraceae,7 Pellacalyx,Pellacalyx,7.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Pellacalyx&tdcode=00026,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rhizophoraceae&volumeno=2,2025-10-20T16:50:07.220468+00:00
2,Rhizophoraceae,5 Carallia,Carallia,5.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Carallia&tdcode=00022,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rhizophoraceae&volumeno=2,2025-10-20T16:50:07.220471+00:00
2,Rhizophoraceae,6 Gynotroches,Gynotroches,6.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Gynotroches&tdcode=00024,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rhizophoraceae&volumeno=2,2025-10-20T16:50:07.220473+00:00
2,Oxalidaceae,3 Averrhoa,Averrhoa,3.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Averrhoa&tdcode=00038,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Oxalidaceae&volumeno=2,2025-10-20T16:50:51.152491+00:00
2,Oxalidaceae,1 Oxalis,Oxalis,1.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Oxalis&tdcode=00030,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Oxalidaceae&volumeno=2,2025-10-20T16:50:51.152511+00:00
2,Oxalidaceae,2 Biophytum,Biophytum,2.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Biophytum&tdcode=00032,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Oxalidaceae&volumeno=2,2025-10-20T16:50:51.152514+00:00
2,Ochnaceae,4 Euthemis,Euthemis,4.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Euthemis&tdcode=00049,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Ochnaceae&volumeno=2,2025-10-20T16:51:18.148901+00:00
2,Ochnaceae,1 Ochna,Ochna,1.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Ochna&tdcode=00042,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Ochnaceae&volumeno=2,2025-10-20T16:51:18.148926+00:00
2,Ochnaceae,2 Brackenridgea,Brackenridgea,2.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Brackenridgea&tdcode=00044,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Ochnaceae&volumeno=2,2025-10-20T16:51:18.148930+00:00
2,Ochnaceae,3 Gomphia,Gomphia,3.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Gomphia&tdcode=00047,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Ochnaceae&volumeno=2,2025-10-20T16:51:18.148933+00:00
2,Rosaceae,1 Spiraea,Spiraea,1.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Spiraea&tdcode=00052,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,2025-10-20T16:52:17.346741+00:00
2,Rosaceae,2 Cotoneaster,Cotoneaster,2.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Cotoneaster&tdcode=00054,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,2025-10-20T16:52:17.346756+00:00
2,Rosaceae,5 Stranvaesia,Stranvaesia,5.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Stranvaesia&tdcode=00068,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,2025-10-20T16:52:17.346758+00:00
2,Rosaceae,4 Photinia,Photinia,4.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Photinia&tdcode=00062,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,2025-10-20T16:52:17.346761+00:00
2,Rosaceae,6 Eriobotrya,Eriobotrya,6.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Eriobotrya&tdcode=00072,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,2025-10-20T16:52:17.346762+00:00
2,Rosaceae,7 Rhaphiolepis,Rhaphiolepis,7.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Rhaphiolepis&tdcode=00078,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,2025-10-20T16:52:17.346764+00:00
2,Rosaceae,3 Sorbus,Sorbus,3.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Sorbus&tdcode=00056,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,2025-10-20T16:52:17.346766+00:00
2,Rosaceae,9 Docynia,Docynia,9.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Docynia&tdcode=00082,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,2025-10-20T16:52:17.346768+00:00
2,Rosaceae,8 Pyrus,Pyrus,8.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Pyrus&tdcode=00080,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,2025-10-20T16:52:17.346770+00:00
2,Rosaceae,10 Rubus,Rubus,10.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Rubus&tdcode=00084,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,2025-10-20T16:52:17.346772+00:00
2,Rosaceae,11 Fragaria,Fragaria,11.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Fragaria&tdcode=00110,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,2025-10-20T16:52:17.346773+00:00
2,Rosaceae,12 Duchesnea,Duchesnea,12.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Duchesnea&tdcode=00111,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,2025-10-20T16:52:17.346775+00:00
2,Rosaceae,13 Potentilla,Potentilla,13.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Potentilla&tdcode=00113,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,2025-10-20T16:52:17.346777+00:00
2,Rosaceae,14 Agrimonia,Agrimonia,14.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Agrimonia&tdcode=00115,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,2025-10-20T16:52:17.346778+00:00
2,Rosaceae,15 Rosa,Rosa,15.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Rosa&tdcode=00117,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,2025-10-20T16:52:17.346780+00:00
2,Rosaceae,16 Prunus,Prunus,16.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Prunus&tdcode=00126,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,2025-10-20T16:52:17.346782+00:00
2,Rosaceae,17 Chrysobalanus,Chrysobalanus,17.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Chrysobalanus&tdcode=00137,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,2025-10-20T16:52:17.346784+00:00
2,Rosaceae,18 Licania,Licania,18.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Licania&tdcode=00139,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,2025-10-20T16:52:17.346785+00:00
2,Rosaceae,9 Parastemon,Parastemon,9.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Parastemon&tdcode=00141,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,2025-10-20T16:52:17.346787+00:00
2,Rosaceae,20 Parinari,Parinari,20.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Parinari&tdcode=00143,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,2025-10-20T16:52:17.346789+00:00
2,Rosaceae,21 Maranthes,Maranthes,21.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Maranthes&tdcode=00145,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,2025-10-20T16:52:17.346791+00:00
2,Icacinaceae,1 Platea,Platea,1.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Platea&tdcode=00148,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Icacinaceae&volumeno=2,2025-10-20T16:54:01.095382+00:00
2,Icacinaceae,2 Medusanthera,Medusanthera,2.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Medusanthera&tdcode=00150,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Icacinaceae&volumeno=2,2025-10-20T16:54:01.095408+00:00
2,Icacinaceae,3 Gomphandra,Gomphandra,3.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Gomphandra&tdcode=00152,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Icacinaceae&volumeno=2,2025-10-20T16:54:01.095411+00:00
2,Icacinaceae,4 Gonocaryum,Gonocaryum,4.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Gonocaryum&tdcode=00158,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Icacinaceae&volumeno=2,2025-10-20T16:54:01.095414+00:00
2,Icacinaceae,5 Apodytes,Apodytes,5.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Apodytes&tdcode=00160,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Icacinaceae&volumeno=2,2025-10-20T16:54:01.095417+00:00
2,Icacinaceae,6 Nothapodytes,Nothapodytes,6.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Nothapodytes&tdcode=00162,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Icacinaceae&volumeno=2,2025-10-20T16:54:01.095420+00:00
2,Icacinaceae,7 Pittosporopsis,Pittosporopsis,7.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Pittosporopsis&tdcode=00165,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Icacinaceae&volumeno=2,2025-10-20T16:54:01.095423+00:00
2,Icacinaceae,8 Stemonurus,Stemonurus,8.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Stemonurus&tdcode=00167,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Icacinaceae&volumeno=2,2025-10-20T16:54:01.095426+00:00
2,Icacinaceae,9 Iodes,Iodes,9.0,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Iodes&tdcode=00169,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Icacinaceae&volumeno=2,2025-10-20T16:54:01.095429+00:00
