volume,family_name,genus_name,genus_label,genus_index_parsed,species_scientific_name,accepted_name,thailand,distribution,ecology,family_url,genus_url,species_url,scraped_at
2,Rosaceae,11 Fragaria,Fragaria,11.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Fragaria&tdcode=00110,,2025-10-20T16:53:04.162781+00:00
2,Theaceae,2,,2.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Theaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=2&tdcode=,,2025-10-20T16:59:01.488529+00:00
5,Opiliaceae,2 Melientha,Melientha,2.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Opiliaceae&volumeno=5,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Melientha&tdcode=01020,,2025-10-20T17:39:32.811762+00:00
5,Opiliaceae,4,,4.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Opiliaceae&volumeno=5,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=4&tdcode=,,2025-10-20T17:39:41.450956+00:00
5,Opiliaceae,5,,5.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Opiliaceae&volumeno=5,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=5&tdcode=,,2025-10-20T17:39:50.166371+00:00
5,Opiliaceae,3 Urobortrya,Urobortrya,3.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Opiliaceae&volumeno=5,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Urobortrya&tdcode=,,2025-10-20T17:39:54.551100+00:00
5,Malpighiaceae,5 Malpighia,Malpighia,5.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Malpighiaceae&volumeno=5,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Malpighia&tdcode=01415,,2025-10-20T17:45:49.627178+00:00
5,Nyctaginaceae,2 Bougainvillea,Bougainvillea,2.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Nyctaginaceae&volumeno=5,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Bougainvillea&tdcode=01498,,2025-10-20T17:48:01.068663+00:00
6,Tiliaceae,5 Trichospcrmum,Trichospcrmum,5.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Tiliaceae&volumeno=6,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Trichospcrmum&tdcode=,,2025-10-20T17:54:45.352546+00:00
7,Sapindaceae,14. Litchi,Litchi,14.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Sapindaceae&volumeno=7,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Litchi&tdcode=02365,,2025-10-20T18:05:51.423586+00:00
7,Sterculiaceae,4. Dombeya,Dombeya,4.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Sterculiaceae&volumeno=7,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Dombeya&tdcode=02736,,2025-10-20T18:16:19.522714+00:00
8,Euphorbiaceae,71. Pterococcus,Pterococcus,71.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Euphorbiaceae&volumeno=8,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Pterococcus&tdcode=,,2025-10-20T18:23:09.583521+00:00
10,Dioscoreaceae,2,,2.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Dioscoreaceae&volumeno=10,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=2&tdcode=,,2025-10-20T18:41:36.215579+00:00
10,Dioscoreaceae,,,,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Dioscoreaceae&volumeno=10,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=&tdcode=,,2025-10-20T18:41:40.494488+00:00
11,Araceae,3. Alocasia,Alocasia,3.0,Alocasia fornicata (Roxb.) Schott,This is currently accepted.,SOUTH-EASTERN: Chanthaburi.,"NE India (Meghalaya: Khasia – type), N Myanmar.","Primary and secondary humid evergreen to seasonal evergreen forests, riverbanks; below 1,000 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Alocasia&tdcode=04848,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=04851,2025-10-20T18:55:16.541032+00:00
11,Araceae,3. Alocasia,Alocasia,3.0,Alocasia odora (Lindl.) K.Koch,This is currently accepted.,SOUTH-WESTERN: Kanchanaburi; PENINSULAR: Phuket.,"India (Assam) SW China, through Myanmar (type), Laos, and south as far as SW Cambodia and east to Japan (Ryukyus).","Primary and secondary tropical rain forests, bamboo-thickets, riverbanks, swamps, sometimes on limestone; below 1,700 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Alocasia&tdcode=04848,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=04857,2025-10-20T18:55:19.495567+00:00
