volume,family_name,family_url,family_max_index_expected,family_missing_indices,genus_count_observed
2,Haloragaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Haloragaceae&volumeno=2,2.0,,2
2,Rhizophoraceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rhizophoraceae&volumeno=2,7.0,,7
2,Oxalidaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Oxalidaceae&volumeno=2,3.0,,3
2,Ochnaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Ochnaceae&volumeno=2,4.0,,4
2,Rosaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rosaceae&volumeno=2,21.0,19,21
2,Icacinaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Icacinaceae&volumeno=2,13.0,,13
2,Cardiopteridaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Cardiopteridaceae&volumeno=2,,,1
2,Dilleniaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Dilleniaceae&volumeno=2,3.0,,3
2,Saurauiaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Saurauiaceae&volumeno=2,,,1
2,Schisandraceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Schisandraceae&volumeno=2,,,1
2,Illiciaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Illiciaceae&volumeno=2,,,1
2,Connaraceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Connaraceae&volumeno=2,6.0,,6
2,Apostasiaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Apostasiaceae&volumeno=2,2.0,,2
2,Actinidiaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Actinidiaceae&volumeno=2,2.0,,2
2,Theaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Theaceae&volumeno=2,9.0,,10
2,Bonnetiaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Bonnetiaceae&volumeno=2,,,1
2,Centrolepidaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Centrolepidaceae&volumeno=2,,,1
2,Flagellariaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Flagellariaceae&volumeno=2,,,1
2,Hanguanaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Hanguanaceae&volumeno=2,,,1
2,Juncaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Juncaceae&volumeno=2,,,1
2,Lowiaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Lowiaceae&volumeno=2,,,1
2,Restionaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Restionaceae&volumeno=2,,,1
2,Triuridaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Triuridaceae&volumeno=2,,,1
2,Balanophoraceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Balanophoraceae&volumeno=2,,,1
2,Rafflesiaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rafflesiaceae&volumeno=2,2.0,,2
2,Cycadaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Cycadaceae&volumeno=2,,,1
2,Pinaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Pinaceae&volumeno=2,,,1
2,Cephalotaxaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Cephalotaxaceae&volumeno=2,,,1
2,Cupressaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Cupressaceae&volumeno=2,,,1
2,Podocarpaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Podocarpaceae&volumeno=2,,,2
2,Gnetaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Gnetaceae&volumeno=2,,,1
2,Smilacaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Smilacaceae&volumeno=2,2.0,,2
2,Magnoliaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Magnoliaceae&volumeno=2,7.0,,7
2,Portulacaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Portulacaceae&volumeno=2,2.0,,2
2,Stylidaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Stylidaceae&volumeno=2,,,1
2,Goodeniaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Goodeniaceae&volumeno=2,2.0,,2
2,Sphenocleaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Sphenocleaceae&volumeno=2,,,1
2,Ebenaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Ebenaceae&volumeno=2,,,1
2,Cannabidaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Cannabidaceae&volumeno=2,,,1
2,Hippocastanaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Hippocastanaceae&volumeno=2,,,1
