score,wfo_id,wfo_full_name,wfo_check,specific_name
1,wfo-0000572747,"Bruguiera gymnorhiza (L.) Lam. ex Savigny",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Rhizophoraceae/Bruguiera/gymnorhiza,"Bruguiera gymnorhiza (L.) Savigny"
1,wfo-0000597936,"Ceriops decandra (Griff.) W.Theob.",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Rhizophoraceae/Ceriops/decandra,"Ceriops decandra (Griff.) Ding Hou"
1,wfo-0000472091,"Pellacalyx parkinsonii C.E.C.Fisch.",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Rhizophoraceae/Pellacalyx/parkinsonii,"Pellacalyx parkinsonii C.E.C.Fischer"
2,wfo-0001016263,"Eriobotrya bengalensis Hook.f.",unplaced,"Eriobotrya bengalensis (Roxb.) Hook.f."
1,wfo-0001017662,"Eriobotrya bengalensis (Roxb.) Kurz",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Eriobotrya/bengalensis,"Eriobotrya bengalensis (Roxb.) Hook.f."
2,wfo-0001016263,"Eriobotrya bengalensis Hook.f.",unplaced,"Eriobotrya bengalensis"
1,wfo-0001017662,"Eriobotrya bengalensis (Roxb.) Kurz",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Eriobotrya/bengalensis,"Eriobotrya bengalensis"
1,wfo-0001016273,"Rhaphiolepis indica (L.) Lindl.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Rhaphiolepis/indica,"Rhaphiolepis indica (L.) Lindl. ex Ker"
2,wfo-0000994970,"Micromeles cuspidata (Bertol.) C.K.Schneid.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Micromeles/cuspidata,"Micromeles cuspidata"
1,wfo-1200002838,"Micromeles cuspidata (Bertol.) Rushforth",unplaced,"Micromeles cuspidata"
3,wfo-0000999607,"Rubus rosifolius Stokes",unplaced,"Rubus rosifolius"
2,wfo-0001005777,"Rubus rosifolius Sm. ex Baker",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Rubus/rosifolius$Rubus/rosifolius,"Rubus rosifolius"
1,wfo-0001007197,"Rubus rosifolius Sm.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Rubus/rosifolius,"Rubus rosifolius"
2,wfo-1000060289,"Rubus pyrifolius Buch.-Ham. ex Hook.f.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Rubus/hamiltonii$Rubus/pyrifolius,"Rubus pyrifolius Sm."
1,wfo-1000060290,"Rubus pyrifolius Hook.f. & Thomson",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Rubus/hexagynus$Rubus/pyrifolius,"Rubus pyrifolius Sm."
3,wfo-0000984794,"Duchesnea indica auct.",unplaced,"Duchesnea indica (Andr.) Focke"
2,wfo-0001017370,"Duchesnea indica (Andrews) Teschem.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Potentilla/indica$Duchesnea/indica,"Duchesnea indica (Andr.) Focke"
1,wfo-1200107636,"Duchesnea indica (Andrews) Focke",unplaced,"Duchesnea indica (Andr.) Focke"
4,wfo-0000985511,"Agrimonia pilosa auct.",unplaced,"Agrimonia pilosa"
3,wfo-0001003295,"Agrimonia pilosa Aitch.",unplaced,"Agrimonia pilosa"
