wfo_id,wfo_full_name,wfo_check,specific_name
wfo-0000373567,"Myriophyllum siamense (Craib) Tardieu",Code/Plantae/Pteridobiotina/Angiosperms/Saxifragales/Haloragaceae/Myriophyllum/siamense,"Myriophyllum siamense (Craib) Tardieu"
wfo-0001261381,"Myriophyllum tetrandrum Roxb.",Code/Plantae/Pteridobiotina/Angiosperms/Saxifragales/Haloragaceae/Myriophyllum/tetrandrum,"Myriophyllum tetrandrum Roxb."
wfo-0000706666,"Gonocarpus micranthus Thunb.",Code/Plantae/Pteridobiotina/Angiosperms/Saxifragales/Haloragaceae/Gonocarpus/micranthus,"Gonocarpus micranthus"
wfo-0001131596,"Rhizophora apiculata Blume",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Rhizophoraceae/Rhizophora/apiculata,"Rhizophora apiculata Blume"
wfo-0001131556,"Rhizophora mucronata Poir.",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Rhizophoraceae/Rhizophora/mucronata,"Rhizophora mucronata Poir."
,,"1 candidates found.","Bruguiera gymnorhiza (L.) Savigny"
wfo-0000572763,"Bruguiera sexangula (Lour.) Poir.",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Rhizophoraceae/Bruguiera/sexangula,"Bruguiera sexangula (Lour.) Poir."
wfo-0000572758,"Bruguiera parviflora (Roxb.) Wight & Arn. ex Griff.",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Rhizophoraceae/Bruguiera/parviflora,"Bruguiera parviflora (Roxb.) Wight & Arn. ex Griff."
wfo-0000572742,"Bruguiera cylindrica (L.) Blume",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Rhizophoraceae/Bruguiera/cylindrica,"Bruguiera cylindrica (L.) Blume"
wfo-0000572750,"Bruguiera hainesii C.G.Rogers",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Rhizophoraceae/Bruguiera/hainesii,"Bruguiera hainesii C.G.Rogers"
wfo-0000597945,"Ceriops tagal (Perr.) C.B.Rob.",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Rhizophoraceae/Ceriops/tagal,"Ceriops tagal (Perr.) C.B.Rob."
,,"1 candidates found.","Ceriops decandra (Griff.) Ding Hou"
wfo-0001131563,"Kandelia candel (L.) Druce",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Rhizophoraceae/Kandelia/candel,"Kandelia candel (L.) Druce"
,,"1 candidates found.","Pellacalyx parkinsonii C.E.C.Fischer"
wfo-0000472093,"Pellacalyx saccardianus Scort.",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Rhizophoraceae/Pellacalyx/saccardianus,"Pellacalyx saccardianus Scort."
wfo-0000586012,"Carallia brachiata (Lour.) Merr.",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Rhizophoraceae/Carallia/brachiata,"Carallia brachiata (Lour.) Merr."
wfo-0000713318,"Gynotroches axillaris Blume",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Rhizophoraceae/Gynotroches/axillaris,"Gynotroches axillaris Blume"
wfo-0000557405,"Averrhoa carambola L.",Code/Plantae/Pteridobiotina/Angiosperms/Oxalidales/Oxalidaceae/Averrhoa/carambola,"Averrhoa carambola L."
wfo-0000557404,"Averrhoa bilimbi L.",Code/Plantae/Pteridobiotina/Angiosperms/Oxalidales/Oxalidaceae/Averrhoa/bilimbi,"Averrhoa bilimbi L."
wfo-0000387203,"Oxalis corniculata L.",Code/Plantae/Pteridobiotina/Angiosperms/Oxalidales/Oxalidaceae/Oxalis/corniculata,"Oxalis corniculata L."
wfo-0000565553,"Biophytum umbraculum Welw.",Code/Plantae/Pteridobiotina/Angiosperms/Oxalidales/Oxalidaceae/Biophytum/umbraculum,"Biophytum umbraculum"
wfo-0000565531,"Biophytum sensitivum (L.) DC.",Code/Plantae/Pteridobiotina/Angiosperms/Oxalidales/Oxalidaceae/Biophytum/sensitivum,"Biophytum sensitivum (L.) DC."
wfo-0000565522,"Biophytum reinwardtii (Zucc.) Klotzsch",Code/Plantae/Pteridobiotina/Angiosperms/Oxalidales/Oxalidaceae/Biophytum/reinwardtii,"Biophytum reinwardtii (Zucc.) Klotzsch"
wfo-0000565549,"Biophytum thorelianum Guillaumin",Code/Plantae/Pteridobiotina/Angiosperms/Oxalidales/Oxalidaceae/Biophytum/thorelianum,"Biophytum thorelianum Guillaumin"
wfo-0000565432,"Biophytum adiantoides Wight ex Edgew. & Hook.f.",Code/Plantae/Pteridobiotina/Angiosperms/Oxalidales/Oxalidaceae/Biophytum/adiantoides,"Biophytum adiantoides Wight ex Edgew. & Hook.f."
wfo-0000683576,"Euthemis leucocarpa Jack",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Ochnaceae/Ochnoideae/Euthemis/leucocarpa,"Euthemis leucocarpa Jack"
wfo-0001087253,"Ochna integerrima (Lour.) Merr.",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Ochnaceae/Ochnoideae/Ochna/integerrima,"Ochna integerrima (Lour.) Merr."
wfo-0000570698,"Brackenridgea elegantissima (Wall.) Kanis",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Ochnaceae/Ochnoideae/Brackenridgea/elegantissima,"Brackenridgea elegantissima"
wfo-0000570710,"Brackenridgea palustris Bartell.",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Ochnaceae/Ochnoideae/Brackenridgea/palustris,"Brackenridgea palustris Bartell."
wfo-0000583291,"Campylospermum serratum (Gaertn.) Bittrich & M.C.E.Amaral",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Ochnaceae/Ochnoideae/Campylospermum/serratum,"Campylospermum serratum"
wfo-0001016819,"Spiraea cantoniensis Lour.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Spiraea/cantoniensis,"Spiraea cantoniensis Lour."
wfo-0001015046,"Cotoneaster franchetii Bois",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Cotoneaster/franchetii,"Cotoneaster franchetii Bois"
wfo-0000995607,"Photinia nussia (Buch.-Ham. ex D.Don) Kalkman",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Stranvaesia/nussia$Photinia/nussia,"Photinia nussia"
