wfo_id,wfo_full_name,wfo_check,input_name_string
wfo-0000373567,Myriophyllum siamense (Craib) Tardieu,Code/Plantae/Pteridobiotina/Angiosperms/Saxifragales/Haloragaceae/Myriophyllum/siamense,myriophyllum siamense (craib) tardieu
wfo-0001131556,Rhizophora mucronata Poir.,Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Rhizophoraceae/Rhizophora/mucronata,rhizophora mucronata poir.
,,1 candidates found.,bruguiera gymnorhiza (l.) savigny
,,1 candidates found.,ceriops decandra (griff.) ding hou
wfo-0000995607,Photinia nussia (Buch.-Ham. ex D.Don) Kalkman,Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Stranvaesia/nussia$Photinia/nussia,photinia nussia
wfo-0001016665,Pourthiaea arguta (Wall. ex Lindl.) Decne.,Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Pourthiaea/arguta,pourthiaea arguta
,,2 candidates found.,eriobotrya bengalensis (roxb.) hook.f.
wfo-0001016817,Sorbus granulosa (Bertol.) Rehder,Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Thomsonaria/granulosa$Sorbus/granulosa,sorbus granulosa (bertol.) rehder
,,3 candidates found.,rubus rosifolius
wfo-0001002128,Rubus ellipticus Sm.,Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Rubus/ellipticus,rubus ellipticus sm.
,,2 candidates found.,rubus pyrifolius sm.
,,No candidates found,
,,3 candidates found.,rosa banksiae w.t.aiton
wfo-0001014455,Rosa × odorata (Andrews) Sweet,Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Rosa/odorata,rosa odorata (andrews) sweet
wfo-0000995821,Prunus arborea (Blume) Kalkman,Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Prunus/arborea,prunus arborea (blume) kalkman
wfo-0001005216,Prunus grisea (Blume ex Müll.Berol.) Kalkman,Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Prunus/grisea,prunus grisea (blume ex müll.berol.) kalkman
wfo-0000705406,Gomphandra quadrifida (Blume) Sleumer,Code/Plantae/Pteridobiotina/Angiosperms/Aquifoliales/Stemonuraceae/Gomphandra/quadrifida,gomphandra quadrifida (blume) sleumer
wfo-0001067131,Pyrenacantha volubilis Wight,Code/Plantae/Pteridobiotina/Angiosperms/Icacinales/Icacinaceae/Pyrenacantha/volubilis,pyrenacantha volubilis wight
,,1 candidates found.,rourea sp.
wfo-0000666433,Ellipanthus tomentosus Kurz,Code/Plantae/Pteridobiotina/Angiosperms/Oxalidales/Connaraceae/Ellipanthus/tomentosus,ellipanthus tomentosus kurz
,,1 candidates found.,connarus monocarpus l.
wfo-0000251829,Neuwiedia zollingeri Rchb.f.,Code/Plantae/Pteridobiotina/Angiosperms/Asparagales/Orchidaceae/Neuwiedia/zollingeri,neuwiedia zollingeri reichb.f.
wfo-0000682913,Eurya acuminata DC.,Code/Plantae/Pteridobiotina/Angiosperms/Ericales/Pentaphylacaceae/Eurya/acuminata,eurya acuminata dc.
,,2 candidates found.,eurya nitida korth.
,,2 candidates found.,balanophora fungosa subsp. indica (arn.) b.hansen
wfo-0000631631,Cycas pectinata Buch.-Ham.,unplaced,cycas pectinata griff.
wfo-0000631609,Cycas micholitzii Dyer,Code/Plantae/Pteridobiotina/Cycadophyta/Cycadopsida/Cycadidae/Cycadales/Cycadaceae/Cycas/micholitzii,cycas micholitzii dyer
wfo-0000636661,Dacrydium elatum (Roxb.) Wall. ex Hook.,Code/Plantae/Pteridobiotina/Pinophyta/Pinopsida/Cupressidae/Araucariales/Podocarpaceae/Dacrydium/elatum,dacrydium elatum (roxb.) wall. ex hook.
wfo-0000741997,Smilax zeylanica L.,Code/Plantae/Pteridobiotina/Angiosperms/Liliales/Smilacaceae/Smilax/zeylanica,smilax zeylanica l.
,,1 candidates found.,smilax extensa a.dc.
wfo-0000740704,Smilax aspera L.,Code/Plantae/Pteridobiotina/Angiosperms/Liliales/Smilacaceae/Smilax/aspera,smilax aspera
wfo-0000742768,Smilax microphylla C.H.Wright,Code/Plantae/Pteridobiotina/Angiosperms/Liliales/Smilacaceae/Smilax/microphylla,smilax microphylla c.h.wright
wfo-0000740766,Smilax bracteata C.Presl,Code/Plantae/Pteridobiotina/Angiosperms/Liliales/Smilacaceae/Smilax/bracteata,smilax bracteata c.presl
