volume,family_name,genus_name,genus_label,genus_index_parsed,species_scientific_name,thailand,distribution,ecology,family_url,genus_url,species_url,specific_name,wfo_id,source,match_type,Species,Plant ID,Letter,DataSheetURL,temp_opt_min,temp_opt_max,temp_abs_min,temp_abs_max,rain_opt_min,rain_opt_max,rain_abs_min,rain_abs_max,ph_opt_min,ph_opt_max,ph_abs_min,ph_abs_max
2.0,Portulacaceae,1 Portulaca,Portulaca,1.0,Portulaca quadrifida L.,"CENTRAL: Chainat, Krung Thep Maha Nakhon (Bangkok); SOUTH-EASTERN: Chon Buri (Ko Sichang); SOUTH-WESTERN: Kanchanaburi (Erawan), Ratchaburi (Sam Roi Yot).","Pantropic, except Australia and the Pacific east of Samoa","Waysides, ruderal places, often between gravel or in sand, not on the sandy beaches, below ca 300 m alt. Flowering and fruiting: January–December.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Portulacaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Portulaca&tdcode=00451,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00452,Portulaca quadrifida L.,,present,A_full_exact,Portulaca quadrifida L.,8882,P,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=8882,22.0,32.0,16.0,36.0,1500.0,2000.0,1000.0,2500.0,5.5,6.5,4.5,7.5
14.0,Malvaceae,1. Abelmoschus,Abelmoschus,1.0,Abelmoschus esculentus (L.) Moench,Widely cultivated throughout the country.,"Although the exact origin is unknown, it is thought to have come from Africa, where it has been grown as a crop for centuries. Evidence suggests it was grown in Egypt as long ago as 2,000 BC. It is found in cultivation throughout the tropics.",Cultivated.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Malvaceae&volumeno=14,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Abelmoschus&tdcode=07022,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07025,Abelmoschus esculentus (L.) Moench,,present,B_core_exact,Abelmoschus esculentus,289,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=289,20.0,30.0,12.0,35.0,600.0,1200.0,300.0,2500.0,5.5,7.0,4.5,8.7
14.0,Malvaceae,1. Abelmoschus,Abelmoschus,1.0,Abelmoschus manihot (L.) Medik. var. pungens (Roxb.) Hochr.,"NORTHERN: Mae Hong Son (Khun Yuam, Mae Sariang), Chiang Mai (Chiang Dao, Mae Chaem), Chiang Rai, Tak (Mae Ramat); NORTH-EASTERN: Sakon Nakhon, Loei; SOUTH-WESTERN: Kanchanaburi.","India to S China, Malesia.","Cultivated, sometimes escaping from cultivation, often found in wet sandy soil, edges of mixed deciduous forests, limestone, roadsides, 400–1,500 m alt. Flowering and fruiting: September–December.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Malvaceae&volumeno=14,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Abelmoschus&tdcode=07022,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07026,Abelmoschus manihot (L.) Medik. var. pungens (Roxb.) Hochr.,,missing,B_core_exact,Abelmoschus manihot,290,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=290,22.0,30.0,16.0,36.0,1200.0,2000.0,1000.0,3000.0,5.5,7.0,5.0,8.0
14.0,Malvaceae,1. Abelmoschus,Abelmoschus,1.0,Abelmoschus moschatus Medik.,"NORTHERN: Chiang Mai (Chiang Dao, Fang); Chiang Rai (Mae Kok), Nan (Ban Sop Khun), Phrae, Kamphaeng Phet (Khao Son); NORTH-EASTERN: Khon Kaen (Phu Khieo); EASTERN: Nakhon Ratchasima (Khao Yai), Buri Ram (near Nang Rong); SOUTH-WESTERN: Prachuap Khiri Khan (Kui Buri); CENTRAL: Krung Thep Maha Nakhon (Bangkok), Saraburi (Muak Lek); SOUTH-EASTERN: Chanthaburi (Pong Nam Ron), Trat (Khao Saming); PENINSULAR: Songkhla (Tham Rue Nok Sak), Pattani (Ban Nang Sata).","India, S China, Cambodia, Laos, Vietnam, Malesia, the Pacific Islands.","Evergreen forests, edge of evergreen forests, wet ground, in rice field, waste areas, 180–850 m alt. Flowering and fruiting: nearly all the year round.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Malvaceae&volumeno=14,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Abelmoschus&tdcode=07022,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07027,Abelmoschus moschatus Medik.,,present,B_core_exact,Abelmoschus moschatus,291,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=291,20.0,30.0,10.0,35.0,1000.0,1400.0,900.0,1500.0,5.5,7.0,5.0,8.0
7.0,Sterculiaceae,1. Abroma,Abroma,1.0,Abroma augustum (L.) L.f.,"NORTHERN: Chiang Rai, Lamphun, Lampang, Phrae; CENTRAL: Krung Thep Maha Nakhon (Bangkok); SOUTH-EASTERN: Chanthaburi; SOUTH-WESTERN: Kanchanaburi; PENINSULAR: Narathiwat.","India (type), China, Malay Peninsula, Indonesia, the Philippines, Australia.","Common near streams in evergreen forests, 50–500 m alt. Flowering and fruiting: June–September.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Sterculiaceae&volumeno=7,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Abroma&tdcode=02727,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=02728,Abroma augustum (L.) L.f.,,present,B_core_exact,Abroma augustum,2561,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=2561,26.0,31.0,18.0,36.0,1500.0,3000.0,1300.0,3500.0,5.0,6.0,4.5,6.5
14.0,Malvaceae,2. Abutilon,Abutilon,2.0,Abutilon theophrasti Medik.,"NORTHERN: Lamphun (Doi Khun Tan), Kamphaeng Phet.","India, China, Vietnam, Malesia, Japan, Europe, N America.","Dry evergreen forests, rather open areas, deciduous forests with much bamboo, open to partly shaded, disturbed thickets, ca 550 m alt. Flowering and fruiting: November.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Malvaceae&volumeno=14,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Abutilon&tdcode=07029,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07036,Abutilon theophrasti Medik.,,present,B_core_exact,Abutilon theophrasti,11067,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=11067,14.0,25.0,10.0,30.0,650.0,2000.0,500.0,3000.0,5.5,6.5,4.9,8.2
4.0,Leguminosae-Mimosoideae,8 Acacia,Acacia,8.0,Acacia farnesiana (L.) Willd.,Introduced and naturalized.,"Pantropical, origin uncertain, probably S America.",Spontaneous in inundated localities.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Leguminosae-Mimosoideae&volumeno=4,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Acacia&tdcode=00808,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00813,Vachellia farnesiana,,present,B_core_exact,Acacia farnesiana,297,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=297,20.0,32.0,7.0,42.0,400.0,1400.0,150.0,4000.0,6.5,7.0,4.3,8.0
4.0,Leguminosae-Mimosoideae,8 Acacia,Acacia,8.0,Acacia leucophloea (Roxb.) Willd.,"CENTRAL: Suphan Buri; SOUTH-WESTERN: Kanchanaburi, Ratchaburi.","India (type), Burma, Indochina, Malay Archipelago (Java–Timor).","Shrub jungles and open, dry, deciduous jungles, savannas, at low altitudes.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Leguminosae-Mimosoideae&volumeno=4,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Acacia&tdcode=00808,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00810,Vachellia leucophloea,,present,B_core_exact,Acacia leucophloea,2646,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=2646,22.0,32.0,12.0,38.0,900.0,1700.0,600.0,2000.0,6.0,7.0,5.0,7.5
11.0,Acoraceae,Acorus,Acorus,,Acorus calamus L.,NORTHERN: Chiang Rai.,"Through much of continental Asia, as far north as Siberia, as far east as New Guinea and south to Java and Borneo, also widespread in SW Asia, Europe (except the far south), and N America.","Swamps, pond sides, standing water, also cultivated; below 2,800 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Acoraceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Acorus&tdcode=05087,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=05088,Acorus calamus L.,,missing,B_core_exact,Acorus calamus,2779,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=2779,18.0,26.0,4.0,30.0,7000.0,2000.0,430.0,4200.0,5.5,6.5,5.0,7.5
4.0,Leguminosae-Caesalpinioideae,4 Acrocarpus,Acrocarpus,4.0,Acrocarpus fraxinifolius Wight & Arn.,"NORTHERN: Chiang Mai (Huai Um Poa, Doi Suthep, Doi Chiang Dao), Lampun (Mae Li); NORTH-EASTERNI: Loei (Phu Kradueng); EASTERN: Nakhon Ratchasima (Khao Yai); SOUTH-EASTERN: Prachinburi (Krabin Buri, Buphram).","India (Sikkim, Assam), Burma (type), Laos, Sumatra, Java.","In evergreen gallery forests, up to 1,100 m alt. Flowering: January–February. after shedding the leaves.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Leguminosae-Caesalpinioideae&volumeno=4,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Acrocarpus&tdcode=00687,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00688,Acrocarpus fraxinifolius Wight ex Arn.,,present,B_core_exact,Acrocarpus fraxinifolius,2780,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=2780,28.0,35.0,12.0,38.0,1200.0,1500.0,1100.0,1600.0,5.5,6.5,5.0,7.5
