Species,Plant ID,Letter,DataSheetURL,temp_opt_min,temp_opt_max,temp_abs_min,temp_abs_max,rain_opt_min,rain_opt_max,rain_abs_min,rain_abs_max,ph_opt_min,ph_opt_max,ph_abs_min,ph_abs_max,__name_full__,__name_core__,__genus_l__,__epithet__,match_type
Abies alba,2550,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=2550,,,,,,,,,,,,,abies alba,abies alba,abies,alba,Z_unmatched
Abies amabilis,196860,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=196860,12.0,18.0,6.0,22.0,1500.0,6000.0,1000.0,6650.0,5.0,7.0,4.5,7.5,abies amabilis,abies amabilis,abies,amabilis,Z_unmatched
Abies balsamea,2551,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=2551,10.0,18.0,4.0,26.0,750.0,1100.0,400.0,1500.0,5.0,6.5,4.5,7.5,abies balsamea,abies balsamea,abies,balsamea,Z_unmatched
Abies concolor,2553,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=2553,10.0,18.0,5.0,22.0,800.0,1200.0,350.0,1900.0,4.5,6.5,4.0,7.0,abies concolor,abies concolor,abies,concolor,Z_unmatched
Abies pindrow,2558,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=2558,16.0,24.0,2.0,32.0,1300.0,2000.0,1100.0,2500.0,5.5,6.5,5.0,7.5,abies pindrow,abies pindrow,abies,pindrow,Z_unmatched
Acacia abyssinica,11776,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=11776,20.0,30.0,10.0,40.0,450.0,1200.0,300.0,1500.0,5.5,7.0,5.0,7.5,acacia abyssinica,acacia abyssinica,acacia,abyssinica,Z_unmatched
Acacia acradenia,2569,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=2569,24.0,34.0,8.0,42.0,400.0,800.0,200.0,1000.0,7.0,8.0,6.5,8.5,acacia acradenia,acacia acradenia,acacia,acradenia,Z_unmatched
Acacia acuminata,2570,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=2570,17.0,28.0,6.0,38.0,350.0,500.0,300.0,700.0,6.0,7.0,5.5,7.5,acacia acuminata,acacia acuminata,acacia,acuminata,Z_unmatched
Acacia ammobia,2575,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=2575,24.0,36.0,10.0,43.0,200.0,250.0,150.0,300.0,5.0,6.0,4.5,6.5,acacia ammobia,acacia ammobia,acacia,ammobia,Z_unmatched
Acacia ampliceps,2576,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=2576,14.0,36.0,5.0,46.0,400.0,600.0,200.0,800.0,7.0,8.0,6.5,8.5,acacia ampliceps,acacia ampliceps,acacia,ampliceps,Z_unmatched
Acacia ancistrocarpa,2578,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=2578,22.0,34.0,10.0,46.0,300.0,500.0,250.0,700.0,5.5,7.0,4.5,8.0,acacia ancistrocarpa,acacia ancistrocarpa,acacia,ancistrocarpa,Z_unmatched
Acacia aneura,2579,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=2579,20.0,34.0,8.0,46.0,250.0,450.0,150.0,550.0,5.5,7.0,4.5,7.5,acacia aneura,acacia aneura,acacia,aneura,Z_unmatched
Acacia angustissima,126290,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=126290,25.0,30.0,20.0,35.0,1000.0,2500.0,800.0,3000.0,5.0,6.5,4.5,7.5,acacia angustissima,acacia angustissima,acacia,angustissima,Z_unmatched
Acacia anticeps,2580,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=2580,18.0,28.0,8.0,36.0,250.0,450.0,150.0,550.0,6.5,7.5,5.5,8.5,acacia anticeps,acacia anticeps,acacia,anticeps,Z_unmatched
Acacia argyrodendron,2581,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=2581,22.0,32.0,10.0,40.0,450.0,550.0,350.0,650.0,6.5,8.0,5.0,9.0,acacia argyrodendron,acacia argyrodendron,acacia,argyrodendron,Z_unmatched
