Letter,Plant Name,Plant Code,Plant ID,URL
A,Abelmoschus esculentus,289,289,https://ecocrop.apps.fao.org/ecocrop/srv/en/cropView?id=289
A,Abelmoschus manihot,290,290,https://ecocrop.apps.fao.org/ecocrop/srv/en/cropView?id=290
A,Abelmoschus moschatus,291,291,https://ecocrop.apps.fao.org/ecocrop/srv/en/cropView?id=291
A,Abies alba,2550,2550,https://ecocrop.apps.fao.org/ecocrop/srv/en/cropView?id=2550
A,Abies amabilis,196860,196860,https://ecocrop.apps.fao.org/ecocrop/srv/en/cropView?id=196860
A,Abies balsamea,2551,2551,https://ecocrop.apps.fao.org/ecocrop/srv/en/cropView?id=2551
A,Abies concolor,2553,2553,https://ecocrop.apps.fao.org/ecocrop/srv/en/cropView?id=2553
A,Abies pindrow,2558,2558,https://ecocrop.apps.fao.org/ecocrop/srv/en/cropView?id=2558
A,Abroma augustum,2561,2561,https://ecocrop.apps.fao.org/ecocrop/srv/en/cropView?id=2561
A,Abutilon theophrasti,11067,11067,https://ecocrop.apps.fao.org/ecocrop/srv/en/cropView?id=11067
A,Acacia abyssinica,11776,11776,https://ecocrop.apps.fao.org/ecocrop/srv/en/cropView?id=11776
A,Acacia acradenia,2569,2569,https://ecocrop.apps.fao.org/ecocrop/srv/en/cropView?id=2569
A,Acacia acuminata,2570,2570,https://ecocrop.apps.fao.org/ecocrop/srv/en/cropView?id=2570
A,Acacia ammobia,2575,2575,https://ecocrop.apps.fao.org/ecocrop/srv/en/cropView?id=2575
A,Acacia ampliceps,2576,2576,https://ecocrop.apps.fao.org/ecocrop/srv/en/cropView?id=2576
A,Acacia ancistrocarpa,2578,2578,https://ecocrop.apps.fao.org/ecocrop/srv/en/cropView?id=2578
A,Acacia aneura,2579,2579,https://ecocrop.apps.fao.org/ecocrop/srv/en/cropView?id=2579
A,Acacia angustissima,126290,126290,https://ecocrop.apps.fao.org/ecocrop/srv/en/cropView?id=126290
A,Acacia anticeps,2580,2580,https://ecocrop.apps.fao.org/ecocrop/srv/en/cropView?id=2580
A,Acacia argyrodendron,2581,2581,https://ecocrop.apps.fao.org/ecocrop/srv/en/cropView?id=2581
A,Acacia ataxacantha,2582,2582,https://ecocrop.apps.fao.org/ecocrop/srv/en/cropView?id=2582
A,Acacia aulacocarpa,2583,2583,https://ecocrop.apps.fao.org/ecocrop/srv/en/cropView?id=2583
A,Acacia auriculiformis,295,295,https://ecocrop.apps.fao.org/ecocrop/srv/en/cropView?id=295
A,Acacia bidwillii,2586,2586,https://ecocrop.apps.fao.org/ecocrop/srv/en/cropView?id=2586
A,Acacia brachystachya,2588,2588,https://ecocrop.apps.fao.org/ecocrop/srv/en/cropView?id=2588
A,Acacia brassii,2589,2589,https://ecocrop.apps.fao.org/ecocrop/srv/en/cropView?id=2589
A,Acacia brevispica,11711,11711,https://ecocrop.apps.fao.org/ecocrop/srv/en/cropView?id=11711
A,Acacia burkei,11814,11814,https://ecocrop.apps.fao.org/ecocrop/srv/en/cropView?id=11814
