specific_name,species_url,wfo_id
Myriophyllum siamense (Craib) Tardieu,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00004,
Myriophyllum tetrandrum Roxb.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00003,wfo-0001261381
Myriophyllum siamense (Craib) Tardieu,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00004,
Myriophyllum tetrandrum Roxb.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00003,wfo-0001261381
Gonocarpus micranthus,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00006,wfo-0000715064
Gonocarpus micranthus,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00006,wfo-0000715064
Rhizophora apiculata Blume,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00009,wfo-0001131596
Rhizophora mucronata Poir.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00010,
Rhizophora apiculata Blume,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00009,wfo-0001131596
Rhizophora mucronata Poir.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00010,
Bruguiera gymnorhiza (L.) Savigny,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00012,
Bruguiera sexangula (Lour.) Poir.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00013,wfo-0000572763
Bruguiera parviflora (Roxb.) Wight & Arn. ex Griff.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00014,wfo-0000572758
Bruguiera cylindrica (L.) Blume,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00015,wfo-0000572742
Bruguiera hainesii C.G.Rogers,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00016,wfo-0000572750
Bruguiera cylindrica (L.) Blume,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00015,wfo-0000572742
Bruguiera gymnorhiza (L.) Savigny,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00012,
Bruguiera hainesii C.G.Rogers,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00016,wfo-0000572750
